ANO,MES,NCM,PAIS_DESTINO,UF_ORIGEM,QUANTIDADE,KG_LIQUIDO,VALOR_USD
2022,11,27090010,249,SP,69670,60835658,34564003
2022,9,27090010,741,RJ,310218,268636014,153760581
2022,5,27090010,607,RJ,159361,139685199,95905241
2022,12,27090010,160,SP,150704,131162956,77063920
2022,3,27090010,158,RJ,471379,413212431,271550827
2022,9,27090010,158,RJ,160058,141856050,88294333
2022,6,27090010,245,RJ,608708,535852439,348797151
2022,1,27090010,249,RJ,78168,68724986,39629586
2022,2,27090010,741,RJ,152909,131807767,86819545
2022,10,27090010,245,SP,221402,195730354,107475010
2022,4,27090010,249,RJ,76031,66948152,51797030
2022,8,27090010,160,SP,308074,272633545,182147267
2022,11,27090010,245,RJ,79453,73971030,32943214
2022,12,27090010,573,RJ,152578,133572112,76698185
2022,6,27090010,455,RJ,93784,91000831,61573268
2022,4,27090010,361,ES,146691,138731797,56510048
2022,10,27090010,160,RJ,893777,781375855,449567806
2022,9,27090010,275,RJ,137593,121521160,73901016
2022,9,27090010,158,SP,79635,69306255,39929769
2022,11,27090010,160,SP,75720,65899421,38682260
2022,9,27090010,160,SP,150811,131032855,86345474
2022,7,27090010,249,RJ,429000,373777635,288632062
2022,8,27090010,160,SP,232391,208024678,125822271
2022,6,27090010,361,RJ,147129,136393718,94201469
2022,12,27090010,249,RJ,40,40,940
2022,12,27090010,158,SP,80364,68800044,40532804
2022,1,27090010,158,RJ,312102,274162577,134818272
2022,6,27090010,361,RJ,316609,288767000,219628551
2022,8,27090010,160,RJ,690170,610806037,422299889
2022,7,27090010,361,SP,157892,137465358,102312368
2022,7,27090010,589,RJ,253681,222423607,162790938
2022,2,27090010,383,RJ,318367,278978535,160876492
2022,8,27090010,160,SP,151801,131995657,95506002
2022,12,27090010,275,RJ,304252,267476515,152289043
2022,9,27090010,573,SP,80929,70610581,39855921
2022,8,27090010,573,SP,79461,68089911,48818977
2022,9,27090010,245,SP,78116,70710599,40229699
2022,3,27090010,573,RJ,158192,138644753,109309935
2022,4,27090010,607,RJ,155331,136292220,107334617
2022,10,27090010,160,RJ,459951,403327817,226460299
2022,6,27090010,245,RJ,304544,268847828,191604070
2022,4,27090010,245,SP,153680,138886670,84640918
2022,8,27090010,158,RJ,154210,134426465,85427011
2022,4,27090010,249,RJ,284448,264794571,176967393
2022,12,27090010,386,RJ,163221,151169496,72594354
2022,7,27090010,160,RJ,465328,416788169,297229561
2022,2,27090010,573,RJ,158740,139332046,81945862
2022,6,27090010,455,ES,95696,89915410,57351520
2022,10,27090010,383,RJ,32846,28776995,16781775
2022,10,27090010,160,RJ,672092,588125284,330285860
2022,1,27090010,249,RJ,153334,135076524,65370320
2022,10,27090010,361,RJ,253216,238360366,111504049
2022,5,27090010,245,RJ,138124,128459507,77328929
2022,7,27090010,573,RJ,383443,335969894,250116092
2022,11,27090010,589,RJ,153874,134937783,87830486
2022,12,27090010,249,SP,144426,125727024,74259380
2022,7,27090010,245,RJ,305363,268457083,196821409
2022,4,27090010,160,SP,76390,66558810,45209265
2022,6,27090010,158,RJ,157073,137898787,100379636
2022,8,27090010,190,RJ,153446,133973779,85828702
2022,7,27090010,158,RJ,907706,796332158,603581685
2022,3,27090010,391,RJ,150765,132316909,86853406
2022,7,27090010,361,RJ,11486,10683954,6312837
2022,2,27090010,160,SP,155593,135963789,87941124
2022,12,27090010,158,RJ,150800,131527342,66420113
2022,5,27090010,249,RJ,311577,271542509,191311276
2022,11,27090010,607,RJ,303633,266205737,161108437
2022,12,27090010,249,RJ,265201,244542580,99446646
2022,10,27090010,573,RJ,279160,244638815,159272087
2022,4,27090010,776,RJ,78733,67796797,46808172
2022,9,27090010,160,SP,149446,130142231,85642421
2022,12,27090010,607,RJ,394728,345777737,188064428
2022,2,27090010,741,ES,53888,50834353,27500956
2022,11,27090010,741,RJ,107550,104412833,60865395
2022,10,27090010,361,RJ,154924,134659885,77510911
2022,6,27090010,160,RJ,379423,330412128,249155973
2022,1,27090010,160,RJ,761071,666426310,331175473
2022,11,27090010,190,RJ,294340,257009254,148966805
2022,3,27090010,845,RJ,150678,132490403,85711138
2022,11,27090010,845,RJ,158820,139379669,80830032
2022,8,27090010,383,RJ,149606,131134720,92212437
2022,11,27090010,160,RJ,1789539,1581661633,860734668
2022,6,27090010,249,RJ,79723,69989199,53613508
2022,3,27090010,589,RJ,158494,138830758,81817261
2022,3,27090010,160,SP,304848,268151816,181379305
2022,2,27090010,361,RJ,131992,123188274,68845258
2022,6,27090010,160,SP,151515,131939897,98102378
2022,1,27090010,275,SP,3,2600,46098
2022,5,27090010,160,RJ,78730,67826252,46806947
2022,5,27090010,160,RJ,606920,541938328,393684790
2022,3,27090010,741,ES,54704,51647986,37321655
2022,2,27090010,160,RJ,772952,675071899,411984803
2022,11,27090010,573,RJ,104079,91290704,51738613
2022,2,27090010,455,RJ,114750,111335108,81074979
2022,6,27090010,607,RJ,153214,134267034,97912007
2022,8,27090010,158,RJ,150840,131461909,95746561
2022,10,27090010,249,SP,76890,66956040,38568404
2022,8,27090010,607,RJ,121330,106796009,81549728
2022,11,27090010,160,SP,155303,135351833,78835895
2022,11,27090010,249,RJ,162657,157735760,65940481
2022,6,27090010,607,RJ,153771,133647315,97916365
2022,2,27090010,249,SP,76972,66981356,38859634
2022,12,27090010,190,RJ,153420,134400609,77121835
2022,12,27090010,160,RJ,1479682,1301530960,744867680
2022,1,27090010,245,SP,151569,132046877,65906773
2022,2,27090010,249,RJ,0,20,6
2022,12,27090010,249,SP,79728,68255014,38703426
2022,9,27090010,391,RJ,153662,134627863,86548362
2022,10,27090010,160,SP,76966,66960440,38182993
2022,4,27090010,455,ES,149988,141392020,84648240
2022,5,27090010,741,RJ,113511,97486960,74129605
2022,9,27090010,160,RJ,153705,142781817,81159563
2022,8,27090010,741,SP,79059,69113019,43955095
2022,11,27090010,275,RJ,0,0,800
2022,10,27090010,741,RJ,313570,272548524,154674268
2022,4,27090010,445,RJ,23397,21767780,12597441
2022,3,27090010,361,RJ,156483,136562682,88855883
2022,4,27090010,160,SP,79030,68835414,46771594
2022,4,27090010,160,RJ,898150,792179103,535532732
2022,3,27090010,160,RJ,306286,265624011,192274863
2022,9,27090010,245,RJ,115664,111950758,58209721
2022,7,27090010,245,RJ,150935,132521125,100760144
2022,10,27090010,249,RJ,235282,203810159,117712056
2022,2,27090010,607,RJ,463293,407098113,247094767
2022,12,27090010,249,RJ,280796,244732641,142132693
2022,11,27090010,361,RJ,307626,272162605,149845544
2022,6,27090010,249,RJ,156997,136886287,105575173
2022,11,27090010,190,RJ,153917,134400225,77329435
2022,7,27090010,249,RJ,152525,141321579,82301851
2022,5,27090010,190,RJ,311725,273174054,184947707
2022,2,27090010,160,SP,230222,200472007,123250829
2022,7,27090010,607,RJ,612543,537569691,398275289
2022,9,27090010,190,RJ,154745,134875989,86555052
2022,12,27090010,160,RJ,444811,390804719,194131087
2022,11,27090010,741,RJ,151565,132184663,76705101
2022,6,27090010,160,RJ,770862,672401063,455636823
2022,8,27090010,160,RJ,305202,268340925,166261809
2022,4,27090010,160,RJ,146209,128560590,87432149
2022,2,27090010,445,RJ,17054,15916351,8637900
2022,5,27090010,160,RJ,236847,206842762,141973367
2022,11,27090010,589,RJ,156988,137556055,77995733
2022,5,27090010,391,RJ,158044,138752259,95115062
2022,3,27090010,160,SP,80188,68609146,54721920
