ANO,MES,PAIS_DESTINO,UF_ORIGEM,QUANTIDADE,KG_LIQUIDO,VALOR_USD
1997,11,249,ES,12,10,2
1997,11,249,SP,59794,46017446,5889613
1998,11,275,RJ,5,5000,472
1998,1,47,RJ,90021,71684000,9996536
1999,11,249,SP,0,44,10
1999,5,249,RJ,1,0,1
1999,4,275,RJ,26,4680,2600
1999,3,249,RJ,2,16,20
1999,3,77,RS,34105,28816847,1522443
1999,12,199,RJ,610,183,40
2000,2,199,RJ,365,61,51
2000,12,715,RJ,156660,145897057,23805835
2000,11,715,RJ,147739,137707542,25688821
2000,7,275,RJ,79015,73791897,10652352
2000,11,249,RJ,86144,80509947,13245718
2000,12,160,RJ,244414,227867216,36124318
2000,9,249,RJ,23,25000,27486
2000,6,63,RJ,63146,58947244,8830391
2000,7,245,RJ,31702,29606453,4343389
2000,7,47,RJ,79145,73850168,13566058
2000,7,249,RJ,146264,136649056,22300554
2001,5,63,RJ,60230,56013927,6753624
2001,5,275,RJ,154802,144228731,17051891
2001,2,715,RJ,313024,291550022,38981747
2001,7,249,RJ,71304,66661697,9504983
2001,7,275,RJ,88594,82463429,16043338
2001,8,275,RJ,95122,88615306,12263604
2001,4,63,RJ,59812,55648951,7184740
2001,5,158,RJ,86896,80898571,10039787
2001,7,63,RJ,172276,160993491,21363880
2001,9,244,RJ,161001,150116984,19994876
2001,4,628,RJ,206950,192855109,20769197
2001,7,158,RJ,96675,89838751,12081433
2001,2,245,RJ,31899,29688027,3476800
2001,7,386,RJ,64445,59985057,3885911
2001,6,158,RJ,59106,54974960,7613770
2001,8,158,RJ,59104,55049845,7278277
2001,12,607,RJ,156672,145783291,13031590
2001,6,187,RJ,151518,141275710,18594915
2001,4,715,RJ,114495,106549464,14608247
2001,11,63,RJ,116385,108932490,15578250
2001,10,244,RJ,248831,231744696,30891545
2001,1,160,RJ,244410,227691920,39847335
2001,6,244,RJ,122380,114107387,15420552
2001,2,386,RJ,64058,59618223,6988375
2001,4,47,RJ,151906,141332972,19199100
2001,7,715,RJ,95176,88560806,12027477
2001,12,158,RJ,154183,143544206,11516306
2001,9,158,RJ,38699,36051789,4740142
2001,8,158,RJ,59659,55446764,7453359
2001,2,275,RJ,151664,141532933,14113987
2001,6,386,RJ,56291,52440981,9271681
2001,5,607,RJ,157383,146688104,16971928
2001,1,158,RJ,59439,55301679,9758794
2001,3,63,RJ,60210,55916632,8562194
2001,4,573,RJ,50481,46952306,7211579
2001,1,715,RJ,157336,146653349,16550158
