ANO;MÊS;KEY;UF_ORIGEM;PRODUTO;LOCALIZAÇÃO;PRODUÇÃO;REGIÃO NORDESTE;REGIÃO NORTE;REGIÃO SUDESTE;REGIÃO SUL
1997;1;1997-1;RJ;PETRÓLEO;MAR;2767443;0.0;0.0;1.0;0.0
1997;2;1997-2;RJ;PETRÓLEO;MAR;2891003;0.0;0.0;1.0;0.0
1997;3;1997-3;RJ;PETRÓLEO;MAR;2998305;0.0;0.0;1.0;0.0
1997;4;1997-4;RJ;PETRÓLEO;MAR;2863184;0.0;0.0;1.0;0.0
1997;5;1997-5;RJ;PETRÓLEO;MAR;2873644;0.0;0.0;1.0;0.0
1997;6;1997-6;RJ;PETRÓLEO;MAR;2905804;0.0;0.0;1.0;0.0
1997;7;1997-7;RJ;PETRÓLEO;MAR;3026789;0.0;0.0;1.0;0.0
1997;8;1997-8;RJ;PETRÓLEO;MAR;2932331;0.0;0.0;1.0;0.0
1997;9;1997-9;RJ;PETRÓLEO;MAR;2832661;0.0;0.0;1.0;0.0
1997;10;1997-10;RJ;PETRÓLEO;MAR;2525463;0.0;0.0;1.0;0.0
1997;11;1997-11;RJ;PETRÓLEO;MAR;2749207;0.0;0.0;1.0;0.0
1997;12;1997-12;RJ;PETRÓLEO;MAR;3295932;0.0;0.0;1.0;0.0
1997;1;1997-1;ES;PETRÓLEO;MAR;3665;0.0;0.0;1.0;0.0
1997;2;1997-2;ES;PETRÓLEO;MAR;3627;0.0;0.0;1.0;0.0
1997;3;1997-3;ES;PETRÓLEO;MAR;3870;0.0;0.0;1.0;0.0
1997;4;1997-4;ES;PETRÓLEO;MAR;3867;0.0;0.0;1.0;0.0
1997;5;1997-5;ES;PETRÓLEO;MAR;4431;0.0;0.0;1.0;0.0
1997;6;1997-6;ES;PETRÓLEO;MAR;3925;0.0;0.0;1.0;0.0
1997;7;1997-7;ES;PETRÓLEO;MAR;3840;0.0;0.0;1.0;0.0
1997;8;1997-8;ES;PETRÓLEO;MAR;3230;0.0;0.0;1.0;0.0
1997;9;1997-9;ES;PETRÓLEO;MAR;2965;0.0;0.0;1.0;0.0
1997;10;1997-10;ES;PETRÓLEO;MAR;3150;0.0;0.0;1.0;0.0
1997;11;1997-11;ES;PETRÓLEO;MAR;2914;0.0;0.0;1.0;0.0
1997;12;1997-12;ES;PETRÓLEO;MAR;2982;0.0;0.0;1.0;0.0
1997;1;1997-1;SP;PETRÓLEO;MAR;20817;0.0;0.0;1.0;0.0
1997;2;1997-2;SP;PETRÓLEO;MAR;21334;0.0;0.0;1.0;0.0
1997;3;1997-3;SP;PETRÓLEO;MAR;22067;0.0;0.0;1.0;0.0
1997;4;1997-4;SP;PETRÓLEO;MAR;21377;0.0;0.0;1.0;0.0
1997;5;1997-5;SP;PETRÓLEO;MAR;19095;0.0;0.0;1.0;0.0
1997;6;1997-6;SP;PETRÓLEO;MAR;22379;0.0;0.0;1.0;0.0
1997;7;1997-7;SP;PETRÓLEO;MAR;17844;0.0;0.0;1.0;0.0
1997;8;1997-8;SP;PETRÓLEO;MAR;17496;0.0;0.0;1.0;0.0
1997;9;1997-9;SP;PETRÓLEO;MAR;19929;0.0;0.0;1.0;0.0
1997;10;1997-10;SP;PETRÓLEO;MAR;19037;0.0;0.0;1.0;0.0
1997;11;1997-11;SP;PETRÓLEO;MAR;18932;0.0;0.0;1.0;0.0
1997;12;1997-12;SP;PETRÓLEO;MAR;18462;0.0;0.0;1.0;0.0
1997;1;1997-1;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;2;1997-2;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;3;1997-3;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;4;1997-4;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;5;1997-5;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;6;1997-6;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;7;1997-7;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;8;1997-8;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;9;1997-9;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;10;1997-10;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;11;1997-11;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;12;1997-12;AM;PETRÓLEO;MAR;0;0.0;1.0;0.0;0.0
1997;1;1997-1;PR;PETRÓLEO;MAR;67331;0.0;0.0;0.0;1.0
1997;2;1997-2;PR;PETRÓLEO;MAR;65013;0.0;0.0;0.0;1.0
1997;3;1997-3;PR;PETRÓLEO;MAR;64355;0.0;0.0;0.0;1.0
1997;4;1997-4;PR;PETRÓLEO;MAR;61419;0.0;0.0;0.0;1.0
1997;5;1997-5;PR;PETRÓLEO;MAR;56552;0.0;0.0;0.0;1.0
1997;6;1997-6;PR;PETRÓLEO;MAR;47069;0.0;0.0;0.0;1.0
1997;7;1997-7;PR;PETRÓLEO;MAR;29306;0.0;0.0;0.0;1.0
1997;8;1997-8;PR;PETRÓLEO;MAR;32887;0.0;0.0;0.0;1.0
1997;9;1997-9;PR;PETRÓLEO;MAR;26862;0.0;0.0;0.0;1.0
1997;10;1997-10;PR;PETRÓLEO;MAR;28161;0.0;0.0;0.0;1.0
1997;11;1997-11;PR;PETRÓLEO;MAR;27850;0.0;0.0;0.0;1.0
1997;12;1997-12;PR;PETRÓLEO;MAR;55520;0.0;0.0;0.0;1.0
1997;1;1997-1;BA;PETRÓLEO;MAR;9802;1.0;0.0;0.0;0.0
1997;2;1997-2;BA;PETRÓLEO;MAR;9221;1.0;0.0;0.0;0.0
1997;3;1997-3;BA;PETRÓLEO;MAR;10185;1.0;0.0;0.0;0.0
1997;4;1997-4;BA;PETRÓLEO;MAR;9961;1.0;0.0;0.0;0.0
1997;5;1997-5;BA;PETRÓLEO;MAR;9928;1.0;0.0;0.0;0.0
1997;6;1997-6;BA;PETRÓLEO;MAR;9064;1.0;0.0;0.0;0.0
1997;7;1997-7;BA;PETRÓLEO;MAR;9230;1.0;0.0;0.0;0.0
1997;8;1997-8;BA;PETRÓLEO;MAR;8539;1.0;0.0;0.0;0.0
1997;9;1997-9;BA;PETRÓLEO;MAR;9021;1.0;0.0;0.0;0.0
1997;10;1997-10;BA;PETRÓLEO;MAR;10081;1.0;0.0;0.0;0.0
